Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto
23-02-2023,24187.7,24602.8,23615.3,23942.4,24159.9,5276.981508,36426,Bitcoin
24-02-2023,23946.4,24134.3,22800.8,23193.8,23430,4096.384087,38219,Bitcoin
25-02-2023,23193.7,23224.9,22739.9,23167.3,23021.4,1909.525231,23294,Bitcoin
26-02-2023,23167.3,23685.1,23066.7,23564.5,23443.1,2684.162416,24886,Bitcoin
27-02-2023,23564.4,23885.4,23108.4,23494.4,23480.9,3324.941853,31007,Bitcoin
28-02-2023,23491.1,23599,23042,23133.2,23346.2,2635.875664,32108,Bitcoin
01-03-2023,23133.2,23977,23044,23634.9,23634.1,3268.56246,35801,Bitcoin
02-03-2023,23633.7,23808,23202,23466.5,23452.8,2933.027468,29963,Bitcoin
03-03-2023,23466.6,23478.5,22000,22356.1,22451,4394.078048,46587,Bitcoin
04-03-2023,22356,22401,22168.5,22348.5,22312,965.0604086,23257,Bitcoin
05-03-2023,22348.4,22667.2,22212.1,22426.9,22441.7,1198.145835,15662,Bitcoin
06-03-2023,22428.1,22600,22277.1,22409.4,22426.9,1585.814482,17501,Bitcoin
07-03-2023,22409.3,22554.6,21904.3,22196.9,22216.2,2676.122801,28780,Bitcoin
08-03-2023,22194.8,22267.9,21600,21699.1,21970,2475.22437,28049,Bitcoin
09-03-2023,21696.5,21819,20042.3,20363.6,21055.3,5826.279918,45307,Bitcoin
10-03-2023,20363.7,20364,19549.9,20224.7,19979.6,8017.548035,51367,Bitcoin
11-03-2023,20224.7,20879,19888,20616.4,20391.4,9219.865369,78209,Bitcoin
12-03-2023,20619.7,22299.9,20440.3,22157.5,21235.1,7395.001226,60425,Bitcoin
13-03-2023,22165.1,24599,21867.8,24208.3,23338.4,13456.22909,102910,Bitcoin
14-03-2023,24214.2,26526,24051,24753.4,25190.4,12908.38729,101638,Bitcoin
15-03-2023,24753.4,25300,23913.3,24372.6,24651.9,7630.694366,66294,Bitcoin
16-03-2023,24374.8,25213,24210.8,25053.7,24823.1,6041.060209,51392,Bitcoin
17-03-2023,25053.7,27839.2,24947.7,27447.7,26527.2,11265.19167,86931,Bitcoin
18-03-2023,27451.7,27795,26606,26964.6,27323.7,7452.655705,62017,Bitcoin
19-03-2023,26967.3,28450,26890.1,28049.9,27761,7280.96204,65337,Bitcoin
20-03-2023,28055.7,28590.6,27222,27773,27928.1,9062.721384,69224,Bitcoin
21-03-2023,27770,28473.5,27341,28154.1,28003.1,6103.635688,55096,Bitcoin
22-03-2023,28158.2,28879.9,26623.8,27300,27974.5,10242.57325,79570,Bitcoin
23-03-2023,27300.1,28798.9,27172.6,28321.4,28029.5,7731.155023,63211,Bitcoin
24-03-2023,28321.3,28399.7,27007.7,27491,27887.3,6589.156827,58245,Bitcoin
25-03-2023,27491.1,27829.7,27163.9,27490.5,27501.1,2779.623121,30314,Bitcoin
26-03-2023,27489.9,28240.4,27438.1,28000,27818.9,2964.881617,30180,Bitcoin
27-03-2023,27998.3,28038,26491.9,27134.5,27249.6,5730.75642,46620,Bitcoin
28-03-2023,27132.6,27521.4,26600,27267.6,27040.8,3939.13159,46045,Bitcoin
29-03-2023,27267.5,28629.4,27258.4,28358.2,28163.6,5927.021481,55683,Bitcoin
30-03-2023,28358.2,29190,27700,28034,28367.3,6090.409964,48787,Bitcoin
31-03-2023,28032.8,28648.2,27520,28466.8,28213.3,4748.60085,44367,Bitcoin
