Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,0.829999,0.770010,0.801661,9779116.84398304,1739503475.7937787
DOTUSD,5.21460,5.06710,5.17230,350053.77121744,1739503475.7939122
XETHZUSD,2745.16000,2614.28000,2692.18000,17460.46127978,1739503475.7939167
LINKUSD,19.243020,18.200980,18.753710,176436.53658768,1739503475.79392
XLTCZUSD,129.06000,118.90000,124.90000,89653.05410063,1739503475.793924
MATICUSD,0.329800,0.311300,0.318500,562124.44410002,1739503475.7939303
SOLUSD,198.43000,189.00000,195.75000,124415.44083385,1739503475.7939343
XXBTZUSD,97559.90000,95273.70000,96602.30000,1481.71722035,1739503475.7939458
XDGUSD,0.265576800,0.253625200,0.261756200,41257746.28113861,1739503475.7939494
XXRPZUSD,2.60473000,2.41723000,2.56502000,31376085.20927442,1739503475.7939634
ADAUSD,0.829999,0.770010,0.801974,9779202.26563788,1739503536.1258354
DOTUSD,5.21460,5.06710,5.17230,350053.77121744,1739503536.1258378
XETHZUSD,2745.16000,2614.28000,2692.40000,17463.56887466,1739503536.1258404
LINKUSD,19.243020,18.200980,18.753710,176435.60295827,1739503536.1258419
XLTCZUSD,129.06000,118.90000,124.96000,89670.06733424,1739503536.125844
MATICUSD,0.329800,0.311300,0.318500,562124.44410002,1739503536.1258457
SOLUSD,198.43000,189.00000,195.81000,124433.14940363,1739503536.1258469
XXBTZUSD,97559.90000,95273.70000,96602.30000,1481.71383749,1739503536.1258485
XDGUSD,0.265576800,0.253625200,0.261806400,41354308.41646289,1739503536.12585
XXRPZUSD,2.60473000,2.41723000,2.56750000,31377701.67235063,1739503536.1258512
ADAUSD,0.829999,0.770010,0.802134,9779306.73583316,1739503596.3535705
DOTUSD,5.21460,5.06710,5.17230,350053.77121744,1739503596.3535738
XETHZUSD,2745.16000,2614.28000,2692.18000,17463.54913529,1739503596.353575
LINKUSD,19.243020,18.200980,18.775360,176440.93523652,1739503596.353576
XLTCZUSD,129.06000,118.90000,125.09000,89686.10975356,1739503596.3535776
MATICUSD,0.329800,0.311300,0.318300,562507.42624669,1739503596.3535793
SOLUSD,198.43000,189.00000,195.91000,124413.97626621,1739503596.3535807
XXBTZUSD,97559.90000,95273.70000,96647.80000,1481.94121518,1739503596.3535824
XDGUSD,0.265576800,0.253625200,0.261918500,41361247.73370006,1739503596.3535838
XXRPZUSD,2.60473000,2.41723000,2.56751000,31378372.67547983,1739503596.353585
ADAUSD,0.829999,0.770010,0.802718,9759140.84849850,1739503656.579519
DOTUSD,5.21460,5.06710,5.17230,350053.77121744,1739503656.579521
XETHZUSD,2745.16000,2614.28000,2692.05000,17463.41853035,1739503656.5795221
LINKUSD,19.243020,18.200980,18.772960,176426.92930325,1739503656.5795228
XLTCZUSD,129.06000,118.90000,125.24000,89677.45531191,1739503656.5795236
MATICUSD,0.329800,0.311300,0.318300,562507.42624669,1739503656.5795245
SOLUSD,198.43000,189.00000,195.84000,124412.33411062,1739503656.579526
XXBTZUSD,97559.90000,95273.70000,96647.80000,1481.94316581,1739503656.5795271
XDGUSD,0.265576800,0.253625200,0.261918500,41350766.78266149,1739503656.5795288
XXRPZUSD,2.60473000,2.41723000,2.56834000,31369082.78830163,1739503656.57953
ADAUSD,0.829999,0.770010,0.802718,9528862.05535543,1739503716.82369
DOTUSD,5.21460,5.06710,5.17230,350053.77121744,1739503716.8236918
XETHZUSD,2745.16000,2614.28000,2692.05000,17463.24007238,1739503716.8236926
LINKUSD,19.243020,18.200980,18.762170,176400.85472856,1739503716.8236938
XLTCZUSD,129.06000,118.90000,125.19000,89695.93933094,1739503716.823695
MATICUSD,0.329800,0.311300,0.318300,562490.45870534,1739503716.8236957
SOLUSD,198.43000,189.00000,195.88000,124428.98334115,1739503716.8236969
XXBTZUSD,97559.90000,95273.70000,96648.00000,1482.95125112,1739503716.8236983
XDGUSD,0.265576800,0.253625200,0.261918600,41314009.72382608,1739503716.8236997
XXRPZUSD,2.60473000,2.41723000,2.56874000,31381431.47574087,1739503716.8237007
ADAUSD,0.829999,0.770010,0.803000,9525498.28642897,1739503777.0630877
DOTUSD,5.21460,5.06710,5.17640,350054.73713970,1739503777.0630896
XETHZUSD,2745.16000,2614.28000,2691.90000,17461.27956155,1739503777.0630908
LINKUSD,19.243020,18.200980,18.762170,176400.85472856,1739503777.0630918
XLTCZUSD,129.06000,118.90000,125.26000,89859.61870336,1739503777.0630925
MATICUSD,0.329800,0.311300,0.318300,562490.45870534,1739503777.063094
SOLUSD,198.43000,189.00000,195.98000,124468.91789811,1739503777.063095
XXBTZUSD,97559.90000,95273.70000,96648.00000,1482.92227491,1739503777.0630965
XDGUSD,0.265576800,0.253625200,0.261918600,41315193.42758496,1739503777.0630982
