Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.166474,1.049483,1.057000,16906568.03299010,1737233794.46006
DOTUSD,7.59330,6.83750,6.88150,810067.87770737,1737233794.4600625
XETHZUSD,3525.46000,3227.90000,3256.88000,26392.40918439,1737233794.4600637
LINKUSD,25.661010,23.324600,23.577800,424565.04336412,1737233794.4600651
XLTCZUSD,139.44000,123.19000,123.21000,59369.98098033,1737233794.460066
MATICUSD,0.513200,0.469200,0.473800,851606.04170214,1737233794.4600677
SOLUSD,270.00000,217.12000,247.24000,1253736.77779088,1737233794.4600692
XXBTZUSD,105082.80000,102222.00000,103805.00000,1954.49804326,1737233794.460072
XDGUSD,0.433930000,0.383424900,0.390091300,138085241.02013939,1737233794.4600728
XXRPZUSD,3.31802000,3.06029000,3.18973000,51398346.32748794,1737233794.4600737
ADAUSD,1.166474,1.049483,1.058622,16908263.66732073,1737233855.2827456
DOTUSD,7.59330,6.83750,6.87520,811050.94546277,1737233855.2827494
XETHZUSD,3525.46000,3227.90000,3259.99000,26291.31040633,1737233855.2827504
LINKUSD,25.661010,23.324600,23.565280,424553.38272351,1737233855.2827516
XLTCZUSD,139.44000,123.19000,123.35000,59370.17794214,1737233855.2827528
MATICUSD,0.513200,0.469200,0.473800,851582.58065431,1737233855.2827535
SOLUSD,270.00000,217.12000,247.86000,1254794.03090880,1737233855.2827544
XXBTZUSD,105082.80000,102222.00000,103830.70000,1935.73430330,1737233855.2827551
XDGUSD,0.433930000,0.383424900,0.390980100,138096029.68417740,1737233855.2827559
XXRPZUSD,3.31802000,3.06029000,3.19372000,51392359.41720952,1737233855.2827568
ADAUSD,1.166474,1.049483,1.059999,16733782.24920405,1737233916.0200982
DOTUSD,7.59330,6.83750,6.88050,811330.73852839,1737233916.0201006
XETHZUSD,3525.46000,3227.90000,3259.47000,26156.78610157,1737233916.0201015
LINKUSD,25.661010,23.324600,23.589230,424269.90236372,1737233916.0201032
XLTCZUSD,139.44000,123.19000,123.44000,59373.82751787,1737233916.0201046
MATICUSD,0.513200,0.469200,0.473300,851602.65544830,1737233916.0201063
SOLUSD,270.00000,217.12000,247.85000,1254820.69811177,1737233916.0201075
XXBTZUSD,105082.80000,102222.00000,103870.40000,1911.92165897,1737233916.020109
XDGUSD,0.433930000,0.383424900,0.391327500,138149372.05692213,1737233916.02011
XXRPZUSD,3.31802000,3.06029000,3.19695000,51392360.13192345,1737233916.0201108
ADAUSD,1.166474,1.049483,1.060795,16738136.55019553,1737233976.3141925
DOTUSD,7.59330,6.83750,6.88580,809677.65731030,1737233976.3141952
XETHZUSD,3525.46000,3227.90000,3261.34000,26144.26723441,1737233976.314196
LINKUSD,25.661010,23.324600,23.596290,424271.62131839,1737233976.314197
XLTCZUSD,139.44000,123.19000,123.61000,59345.31995017,1737233976.314198
MATICUSD,0.513200,0.469200,0.473700,851851.99455830,1737233976.3141987
SOLUSD,270.00000,217.12000,248.19000,1259132.61103603,1737233976.3141994
XXBTZUSD,105082.80000,102222.00000,103903.70000,1887.41505641,1737233976.3142004
XDGUSD,0.433930000,0.383424900,0.391645600,138166370.76369886,1737233976.3142014
XXRPZUSD,3.31802000,3.06029000,3.20138000,51383178.75912971,1737233976.3142023
ADAUSD,1.166474,1.049483,1.062100,16734540.25566204,1737234037.063062
DOTUSD,7.59330,6.83750,6.89020,809675.28990732,1737234037.0630665
XETHZUSD,3525.46000,3227.90000,3262.03000,26131.87731985,1737234037.063068
LINKUSD,25.661010,23.324600,23.596290,424266.38440239,1737234037.0630696
XLTCZUSD,139.44000,123.19000,123.74000,59330.27494660,1737234037.063072
MATICUSD,0.513200,0.469200,0.473700,851851.99455830,1737234037.0630739
SOLUSD,270.00000,217.12000,248.23000,1259184.58480767,1737234037.063076
XXBTZUSD,105082.80000,102222.00000,103911.90000,1881.98708059,1737234037.0630782
XDGUSD,0.433930000,0.383424900,0.391820000,138346061.96276481,1737234037.0630798
XXRPZUSD,3.31802000,3.06029000,3.20212000,51369214.85734102,1737234037.063083
ADAUSD,1.166474,1.049483,1.063162,16727696.11531389,1737234097.805954
DOTUSD,7.59330,6.83750,6.90150,809587.30558051,1737234097.805957
XETHZUSD,3522.56000,3227.90000,3262.13000,26125.01927244,1737234097.8059578
LINKUSD,25.661010,23.324600,23.676940,424268.08491665,1737234097.8059595
XLTCZUSD,139.44000,123.19000,123.85000,59330.45137383,1737234097.8059607
MATICUSD,0.513200,0.469200,0.473700,851765.85833297,1737234097.8059623
SOLUSD,270.00000,217.12000,248.00000,1259531.01870229,1737234097.805963
XXBTZUSD,105082.80000,102222.00000,103927.60000,1880.71855984,1737234097.805964
XDGUSD,0.433930000,0.383424900,0.391652500,138392625.44241639,1737234097.8059654
XXRPZUSD,3.31802000,3.06029000,3.19788000,51368264.83586628,1737234097.8059661
ADAUSD,1.166474,1.049483,1.060446,16726057.12163359,1737234158.5535502
DOTUSD,7.59330,6.83750,6.89530,809864.74987419,1737234158.5535526
XETHZUSD,3522.56000,3227.90000,3262.37000,26126.96780349,1737234158.5535538
LINKUSD,25.661010,23.324600,23.631540,424248.12303903,1737234158.553555
XLTCZUSD,139.44000,123.19000,123.69000,59313.46924185,1737234158.553556
MATICUSD,0.513200,0.469200,0.473700,842431.63394273,1737234158.553557
SOLUSD,270.00000,217.12000,247.77000,1260156.45550315,1737234158.5535583
XXBTZUSD,105082.80000,102222.00000,103908.00000,1878.71455705,1737234158.5535593
XDGUSD,0.433930000,0.383424900,0.391511700,138388569.01893992,1737234158.5535605
XXRPZUSD,3.31802000,3.06029000,3.19697000,51350266.71816812,1737234158.553562
ADAUSD,1.166474,1.049483,1.061447,16725762.75338658,1737234219.29772
DOTUSD,7.59330,6.83750,6.88900,809560.16475248,1737234219.2977226
XETHZUSD,3522.56000,3227.90000,3262.03000,26128.17487923,1737234219.2977233
LINKUSD,25.661010,23.324600,23.615890,424077.06356762,1737234219.2977245
XLTCZUSD,139.44000,123.19000,123.81000,59284.76789375,1737234219.2977252
MATICUSD,0.513200,0.469200,0.473700,842431.63394273,1737234219.2977262
SOLUSD,270.00000,217.12000,247.70000,1260358.21225871,1737234219.2977273
XXBTZUSD,105082.80000,102222.00000,103870.10000,1876.97210370,1737234219.2977285
XDGUSD,0.433930000,0.383424900,0.391364700,138385837.70364294,1737234219.2977293
XXRPZUSD,3.31802000,3.06029000,3.19778000,51333789.73288086,1737234219.297731
ADAUSD,1.166474,1.049483,1.061145,16725873.33033762,1737234279.6068954
DOTUSD,7.59330,6.83750,6.89520,809377.37931758,1737234279.6069093
XETHZUSD,3522.56000,3227.90000,3261.93000,26126.03558711,1737234279.606911
LINKUSD,25.661010,23.324600,23.632520,424020.57132149,1737234279.6069133
XLTCZUSD,139.44000,123.19000,123.74000,59284.69414364,1737234279.6069152
MATICUSD,0.513200,0.469200,0.474600,842745.42927273,1737234279.6069174
SOLUSD,270.00000,217.12000,247.61000,1259951.68497765,1737234279.60692
XXBTZUSD,105082.80000,102222.00000,103899.90000,1875.19841039,1737234279.6069214
XDGUSD,0.433930000,0.383424900,0.391461400,138371583.22727865,1737234279.6069236
XXRPZUSD,3.31802000,3.06029000,3.20248000,51339713.59885457,1737234279.606926
ADAUSD,1.166474,1.049483,1.063219,16717533.54765174,1737234340.3728404
DOTUSD,7.59330,6.83750,6.90590,809131.78089562,1737234340.3728445
XETHZUSD,3522.56000,3227.90000,3265.40000,26107.81519743,1737234340.3728664
LINKUSD,25.661010,23.324600,23.632520,423018.57132149,1737234340.372868
XLTCZUSD,139.44000,123.19000,123.96000,59282.07593137,1737234340.37287
MATICUSD,0.513200,0.469200,0.474600,842745.42927273,1737234340.3728716
SOLUSD,270.00000,217.12000,247.84000,1260273.75393436,1737234340.3728733
XXBTZUSD,105082.80000,102222.00000,103992.80000,1873.99621111,1737234340.3728747
XDGUSD,0.433930000,0.383424900,0.392261500,137865526.55170737,1737234340.372879
XXRPZUSD,3.31802000,3.06029000,3.20419000,51323615.04403470,1737234340.3728812
ADAUSD,1.166474,1.049483,1.063830,16627195.30807860,1737234400.6768327
DOTUSD,7.59330,6.83750,6.90820,809133.94239459,1737234400.6768353
XETHZUSD,3518.47000,3227.90000,3267.20000,26112.75855776,1737234400.6768365
LINKUSD,25.661010,23.324600,23.686190,422930.71596149,1737234400.6768374
XLTCZUSD,139.44000,123.19000,124.16000,59270.14251419,1737234400.6768382
MATICUSD,0.513200,0.469200,0.476100,842930.11294273,1737234400.6768396
SOLUSD,270.00000,217.12000,248.15000,1260566.69661845,1737234400.676841
XXBTZUSD,105082.80000,102222.00000,103993.10000,1873.58526378,1737234400.6768422
XDGUSD,0.433930000,0.383424900,0.391850900,137817076.96268807,1737234400.676843
XXRPZUSD,3.31802000,3.06029000,3.20418000,51324944.49563366,1737234400.6768441
ADAUSD,1.166474,1.049483,1.064741,16623603.20478028,1737234461.424496
DOTUSD,7.59330,6.83750,6.91560,808833.67389979,1737234461.424507
XETHZUSD,3515.31000,3227.90000,3268.99000,26116.54397137,1737234461.4245088
LINKUSD,25.661010,23.324600,23.688960,422539.98646010,1737234461.424511
XLTCZUSD,139.44000,123.19000,124.33000,59287.08244455,1737234461.4245133
MATICUSD,0.513200,0.469200,0.475000,844017.12482273,1737234461.4245155
SOLUSD,270.00000,217.12000,248.79000,1260889.14513599,1737234461.424518
XXBTZUSD,105082.80000,102222.00000,104029.00000,1871.40558228,1737234461.4245236
XDGUSD,0.433930000,0.383424900,0.392295500,137805507.87521783,1737234461.4245257
XXRPZUSD,3.31802000,3.06029000,3.20505000,51333683.92588944,1737234461.4245284
ADAUSD,1.166474,1.049483,1.064741,16524762.52591563,1737234522.304675
DOTUSD,7.59330,6.83750,6.91700,808529.41697487,1737234522.3046784
XETHZUSD,3513.60000,3227.90000,3268.64000,26114.13528687,1737234522.3046796
LINKUSD,25.661010,23.324600,23.688960,422508.49589772,1737234522.3046803
XLTCZUSD,139.44000,123.19000,124.38000,59088.74069348,1737234522.304682
MATICUSD,0.513200,0.469200,0.475800,834027.12482273,1737234522.3046834
SOLUSD,270.00000,217.12000,248.81000,1261084.91154588,1737234522.3046849
XXBTZUSD,105082.80000,102222.00000,104075.00000,1868.72428374,1737234522.3046858
XDGUSD,0.433930000,0.383424900,0.392587000,137867116.97466052,1737234522.304687
XXRPZUSD,3.31802000,3.06029000,3.20188000,51335768.61606948,1737234522.3046882
ADAUSD,1.166474,1.049483,1.064747,16452298.97614334,1737234583.0465934
DOTUSD,7.59330,6.83750,6.91690,807926.05973854,1737234583.0466096
XETHZUSD,3513.60000,3227.90000,3269.28000,26114.55328329,1737234583.0466108
LINKUSD,25.661010,23.324600,23.696570,422509.81276672,1737234583.046612
XLTCZUSD,139.44000,123.19000,124.28000,59154.91780085,1737234583.046613
MATICUSD,0.513200,0.469200,0.475800,832056.51691736,1737234583.0466142
SOLUSD,270.00000,217.12000,248.72000,1261288.14001514,1737234583.0466156
XXBTZUSD,105082.80000,102222.00000,104074.90000,1868.60666963,1737234583.0466163
XDGUSD,0.433930000,0.383424900,0.393131200,137725732.26965556,1737234583.0466173
XXRPZUSD,3.31802000,3.06029000,3.20204000,51213729.14709820,1737234583.0466187
ADAUSD,1.166474,1.049483,1.064936,16218604.26179674,1737234643.784051
DOTUSD,7.59330,6.83750,6.91690,807927.44430705,1737234643.7840543
XETHZUSD,3513.60000,3227.90000,3269.99000,26115.97169672,1737234643.7840555
LINKUSD,25.661010,23.324600,23.694430,422171.22837672,1737234643.7840567
XLTCZUSD,139.44000,123.19000,124.34000,59212.25599593,1737234643.7840579
MATICUSD,0.513200,0.469200,0.475500,832272.51691736,1737234643.7840588
SOLUSD,270.00000,217.12000,249.36000,1261555.77701744,1737234643.7840602
XXBTZUSD,105082.80000,102222.00000,104074.90000,1868.60428869,1737234643.7840614
XDGUSD,0.433930000,0.383424900,0.392926700,137715982.33488387,1737234643.7840626
XXRPZUSD,3.31802000,3.06029000,3.20167000,51214275.36329927,1737234643.784064
ADAUSD,1.166474,1.049483,1.066838,16297334.89219953,1737234704.5246553
DOTUSD,7.59330,6.83750,6.92300,807970.44305440,1737234704.5246575
XETHZUSD,3513.60000,3227.90000,3274.09000,26113.33036502,1737234704.5246584
LINKUSD,25.661010,23.324600,23.720590,422463.53420538,1737234704.5246594
XLTCZUSD,139.44000,123.19000,124.46000,59186.53600950,1737234704.524661
MATICUSD,0.513200,0.469200,0.475500,832272.51691736,1737234704.5246623
SOLUSD,270.00000,217.12000,249.28000,1261903.45985072,1737234704.5246632
XXBTZUSD,105082.80000,102222.00000,104074.90000,1868.57897813,1737234704.5246646
XDGUSD,0.433930000,0.383424900,0.393545600,137730737.44765751,1737234704.5246654
XXRPZUSD,3.31802000,3.06029000,3.20126000,51187254.53167556,1737234704.5246665
ADAUSD,1.166474,1.049483,1.066699,16293653.27714256,1737234765.272382
DOTUSD,7.59330,6.83750,6.92450,805437.32164185,1737234765.2723851
XETHZUSD,3513.60000,3227.90000,3274.24000,26115.54580309,1737234765.2723858
LINKUSD,25.661010,23.324600,23.710270,422463.19253818,1737234765.2723868
