Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,0.720585,0.682214,0.701026,4774367.10969117,1739043553.5505793
DOTUSD,4.70450,4.45850,4.66630,314990.94459321,1739043553.5505812
XETHZUSD,2672.65000,2562.36000,2640.10000,14936.12640107,1739043553.5505822
LINKUSD,18.860030,17.803210,18.401850,142484.74270245,1739043553.5505831
XLTCZUSD,105.08000,100.66000,104.62000,28683.33062695,1739043553.5505838
MATICUSD,0.308700,0.289800,0.308200,996070.14066947,1739043553.5505848
SOLUSD,198.23000,188.17000,197.91000,168422.35367746,1739043553.5505853
XXBTZUSD,97222.10000,95634.10000,96700.00000,749.81743066,1739043553.5505877
XDGUSD,0.253902700,0.238870100,0.253636100,22712514.53771790,1739043553.5505884
XXRPZUSD,2.44999000,2.35004000,2.43186000,28709945.75947069,1739043553.550589
ADAUSD,0.720292,0.682214,0.700263,4774351.62301104,1739043613.7627249
DOTUSD,4.70450,4.45850,4.66630,314838.89813219,1739043613.7627263
XETHZUSD,2672.65000,2562.36000,2639.24000,14934.29248023,1739043613.762727
LINKUSD,18.824900,17.803210,18.400130,142486.14885716,1739043613.7627275
XLTCZUSD,105.08000,100.66000,104.56000,28693.03258523,1739043613.762728
MATICUSD,0.308700,0.289800,0.308200,996070.14066947,1739043613.7627285
SOLUSD,198.23000,188.17000,197.87000,166404.90723440,1739043613.762729
XXBTZUSD,97222.00000,95634.10000,96700.00000,749.68824699,1739043613.7627294
XDGUSD,0.253902700,0.238870100,0.253636000,22731466.14353578,1739043613.76273
XXRPZUSD,2.44954000,2.35004000,2.43140000,28664688.58719715,1739043613.7627306
ADAUSD,0.718000,0.682214,0.699967,4750416.83902898,1739043673.9521816
DOTUSD,4.70450,4.45850,4.65980,312730.25046822,1739043673.952183
XETHZUSD,2672.65000,2562.36000,2638.25000,14904.48294818,1739043673.9521837
LINKUSD,18.824900,17.803210,18.400130,142466.74030657,1739043673.9521844
XLTCZUSD,105.08000,100.66000,104.54000,28724.54226443,1739043673.952185
MATICUSD,0.308700,0.289800,0.307800,998121.72398198,1739043673.952186
SOLUSD,198.23000,188.17000,197.62000,166402.44984129,1739043673.9521868
XXBTZUSD,97197.30000,95634.10000,96700.00000,739.96789109,1739043673.9521875
XDGUSD,0.253902700,0.238870100,0.253375500,22740343.81472532,1739043673.9521885
XXRPZUSD,2.44954000,2.35004000,2.42888000,28661166.90832002,1739043673.9521892
ADAUSD,0.717735,0.682214,0.700009,4750395.05457753,1739043734.136396
DOTUSD,4.70450,4.45850,4.65980,312724.56510251,1739043734.1363976
XETHZUSD,2672.65000,2562.36000,2638.65000,14883.26951890,1739043734.1363983
LINKUSD,18.824900,17.803210,18.400130,142422.20534578,1739043734.1363986
XLTCZUSD,105.08000,100.66000,104.50000,26369.20664696,1739043734.1363993
MATICUSD,0.308700,0.289800,0.308000,997525.28603708,1739043734.1364002
SOLUSD,198.23000,188.17000,197.57000,166180.82094318,1739043734.1364007
XXBTZUSD,97197.30000,95634.10000,96680.50000,734.34020097,1739043734.1364014
XDGUSD,0.253902700,0.238870100,0.253323200,22736928.96487025,1739043734.136402
XXRPZUSD,2.44954000,2.35004000,2.42888000,28630314.59265493,1739043734.1364024
ADAUSD,0.717735,0.682214,0.700009,4464488.82649362,1739043794.3417819
DOTUSD,4.70450,4.45850,4.65980,312252.89453451,1739043794.3417833
XETHZUSD,2672.65000,2562.36000,2639.89000,14879.54050983,1739043794.3417838
LINKUSD,18.824900,17.803210,18.400130,142422.20534578,1739043794.3417845
XLTCZUSD,105.08000,100.66000,104.50000,26369.08536731,1739043794.3417854
MATICUSD,0.308700,0.289800,0.307800,997522.45341718,1739043794.3417864
SOLUSD,198.23000,188.17000,197.66000,166150.94661486,1739043794.3417869
XXBTZUSD,97197.30000,95634.10000,96680.60000,729.65077777,1739043794.3417873
XDGUSD,0.253902700,0.238870100,0.253256300,22736990.32487025,1739043794.341788
XXRPZUSD,2.44954000,2.35004000,2.42953000,28421986.46258921,1739043794.3417888
ADAUSD,0.717735,0.682214,0.700008,3976187.85970447,1739043854.5344694
DOTUSD,4.70450,4.45850,4.65980,311921.33294260,1739043854.5344708
XETHZUSD,2672.65000,2562.36000,2635.70000,14903.36836529,1739043854.5344715
LINKUSD,18.824900,17.803210,18.336390,142645.57760197,1739043854.534472
XLTCZUSD,105.08000,100.66000,104.30000,26351.41504550,1739043854.5344725
MATICUSD,0.308700,0.289800,0.307800,997568.65629821,1739043854.5344732
SOLUSD,198.23000,188.17000,197.32000,165991.91492712,1739043854.5344737
XXBTZUSD,97197.30000,95634.10000,96637.10000,720.18897869,1739043854.5344741
XDGUSD,0.253902700,0.238870100,0.252793400,22725171.54588243,1739043854.534475
XXRPZUSD,2.44954000,2.35004000,2.42782000,28544364.74754817,1739043854.5344756
ADAUSD,0.717735,0.682214,0.698499,3969191.46029605,1739043914.7271538
