Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,0.829432,0.769401,0.805804,10264077.67742071,1739835546.3246658
DOTUSD,5.06870,4.77730,4.89140,250095.24471962,1739835546.3246691
XETHZUSD,2847.00000,2640.00000,2745.72000,20064.88723768,1739835546.3246708
LINKUSD,19.780000,18.391360,19.082980,245263.43652289,1739835546.3246727
XLTCZUSD,128.75000,120.13000,122.45000,46275.57812061,1739835546.3246746
MATICUSD,0.334700,0.312900,0.319700,889995.90860464,1739835546.3246763
SOLUSD,189.71000,174.60000,177.92000,300863.75425956,1739835546.3246782
XXBTZUSD,97032.60000,95224.70000,95800.00000,1006.19474435,1739835546.3246815
XDGUSD,0.268831000,0.253704100,0.258058800,39052178.21876369,1739835546.3246834
XXRPZUSD,2.76322000,2.60761000,2.65156000,32913453.21483192,1739835546.324685
ADAUSD,0.829432,0.769401,0.805804,10264077.67742071,1739835606.627612
DOTUSD,5.06870,4.77730,4.89140,250094.24471962,1739835606.6276143
XETHZUSD,2847.00000,2640.00000,2744.90000,20063.93587100,1739835606.627615
LINKUSD,19.780000,18.391360,19.056700,245291.64610680,1739835606.627616
XLTCZUSD,128.75000,120.13000,122.45000,46282.58228701,1739835606.627617
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835606.627618
SOLUSD,189.71000,174.60000,177.87000,300849.62703722,1739835606.6276193
XXBTZUSD,97032.60000,95224.70000,95800.00000,1006.16434143,1739835606.6276207
XDGUSD,0.268831000,0.253704100,0.257944600,39543340.86129206,1739835606.6276217
XXRPZUSD,2.76322000,2.60761000,2.65352000,32913938.08768192,1739835606.6276226
ADAUSD,0.829432,0.769401,0.805079,10264114.82905427,1739835666.8242586
DOTUSD,5.06870,4.77730,4.89140,250093.24471962,1739835666.8242617
XETHZUSD,2847.00000,2640.00000,2739.33000,20081.34894928,1739835666.8242626
LINKUSD,19.780000,18.391360,19.051990,245250.62520188,1739835666.8242643
XLTCZUSD,128.75000,120.13000,122.36000,46286.23763948,1739835666.824266
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835666.8242676
SOLUSD,189.71000,174.60000,177.67000,300877.50764589,1739835666.8242683
XXBTZUSD,97032.60000,95224.70000,95799.90000,1006.13659488,1739835666.8242695
XDGUSD,0.268831000,0.253704100,0.257500100,39541509.24898551,1739835666.8242702
XXRPZUSD,2.76322000,2.60761000,2.65349000,32913627.72694702,1739835666.8242714
ADAUSD,0.829432,0.769401,0.805079,10262338.23111758,1739835727.097186
DOTUSD,5.06870,4.77730,4.89140,249863.91271962,1739835727.0971892
XETHZUSD,2847.00000,2640.00000,2738.72000,20083.90476382,1739835727.09719
LINKUSD,19.780000,18.391360,19.041390,243061.17385328,1739835727.0971909
XLTCZUSD,128.75000,120.13000,122.33000,46305.70575196,1739835727.0971925
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835727.0971935
SOLUSD,189.71000,174.60000,177.42000,301367.78492220,1739835727.0971944
XXBTZUSD,97032.60000,95224.70000,95799.90000,1006.05559420,1739835727.0971959
XDGUSD,0.268831000,0.253704100,0.257424400,39483098.90121202,1739835727.097197
XXRPZUSD,2.76322000,2.60761000,2.65389000,32912880.62722779,1739835727.097198
ADAUSD,0.829432,0.769401,0.805079,10261076.79146187,1739835787.3804379
DOTUSD,5.06870,4.77730,4.89140,249862.91271962,1739835787.3804402
XETHZUSD,2847.00000,2640.00000,2740.00000,20082.97526766,1739835787.3804414
LINKUSD,19.780000,18.391360,19.041390,241984.02396188,1739835787.3804426
XLTCZUSD,128.75000,120.13000,122.33000,46305.56698786,1739835787.380444
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835787.3804455
SOLUSD,189.71000,174.60000,177.75000,301387.60045019,1739835787.3804467
XXBTZUSD,97032.60000,95224.70000,95799.00000,1006.01869469,1739835787.380448
XDGUSD,0.268831000,0.253704100,0.257704900,39483118.49121202,1739835787.3804488
XXRPZUSD,2.76322000,2.60761000,2.65429000,32900123.93890358,1739835787.3804498
ADAUSD,0.829432,0.769401,0.804573,10261068.20063386,1739835847.6484368
DOTUSD,5.06870,4.77730,4.89140,249605.32376235,1739835847.6484394
XETHZUSD,2847.00000,2640.00000,2739.87000,20086.45900763,1739835847.6484408
LINKUSD,19.780000,18.391360,19.018870,242088.73963437,1739835847.6484423
XLTCZUSD,128.75000,120.13000,122.44000,46329.59828632,1739835847.648444
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835847.6484458
SOLUSD,189.71000,174.60000,177.70000,301392.98604694,1739835847.6484473
XXBTZUSD,97032.60000,95224.70000,95780.00000,1005.99232550,1739835847.648448
XDGUSD,0.268831000,0.253704100,0.257636800,39486662.77621202,1739835847.6484494
XXRPZUSD,2.76322000,2.60761000,2.65438000,32911227.61242887,1739835847.6484506
ADAUSD,0.829432,0.769401,0.805154,10260968.24403587,1739835908.023513
DOTUSD,5.06870,4.77730,4.87750,249607.37399300,1739835908.0235162
XETHZUSD,2847.00000,2640.00000,2737.31000,20097.73496863,1739835908.0235174
LINKUSD,19.780000,18.391360,19.012680,242089.81106585,1739835908.0235188
XLTCZUSD,128.75000,120.13000,122.40000,46329.85573799,1739835908.0235202
MATICUSD,0.334700,0.312900,0.319700,889964.34969107,1739835908.0235214
SOLUSD,189.71000,174.60000,177.50000,301544.71886380,1739835908.0235226
XXBTZUSD,97032.60000,95224.70000,95780.10000,1005.95882294,1739835908.0235236
XDGUSD,0.268831000,0.253704100,0.257559500,39489216.57944556,1739835908.0235243
XXRPZUSD,2.76322000,2.60761000,2.65430000,32908881.29156367,1739835908.0235257
ADAUSD,0.829432,0.769401,0.804138,10260578.14599357,1739835968.225941
DOTUSD,5.06870,4.77730,4.87750,248963.69934179,1739835968.2259436
XETHZUSD,2847.00000,2640.00000,2735.48000,20101.89847764,1739835968.2259448
LINKUSD,19.780000,18.391360,18.989990,242133.62265201,1739835968.2259464
XLTCZUSD,128.75000,120.13000,122.17000,46329.44670060,1739835968.225948
MATICUSD,0.334700,0.312900,0.318500,889976.04624459,1739835968.2259498
SOLUSD,189.71000,174.60000,177.51000,301550.22432370,1739835968.225951
XXBTZUSD,97032.60000,95224.70000,95739.30000,1005.50810279,1739835968.2259521
XDGUSD,0.268831000,0.253704100,0.257339700,39478862.25723965,1739835968.2259533
XXRPZUSD,2.76322000,2.60761000,2.65183000,32863191.83413841,1739835968.2259548
ADAUSD,0.829432,0.769401,0.804140,10257592.68480857,1739836028.4206805
DOTUSD,5.06870,4.77730,4.87750,248961.69934179,1739836028.4206827
XETHZUSD,2847.00000,2640.00000,2735.83000,20106.12194788,1739836028.4206836
LINKUSD,19.780000,18.391360,19.011920,242302.94116049,1739836028.4206848
XLTCZUSD,128.75000,120.13000,122.25000,46329.72729813,1739836028.4206858
MATICUSD,0.334700,0.312900,0.318500,889976.04624459,1739836028.4206872
SOLUSD,189.71000,174.60000,177.77000,301554.15003112,1739836028.4206884
XXBTZUSD,97032.60000,95224.70000,95739.40000,1004.46836852,1739836028.4206893
XDGUSD,0.268831000,0.253704100,0.257297300,39481588.56214815,1739836028.420691
XXRPZUSD,2.76322000,2.60761000,2.65250000,32854923.55350231,1739836028.420692
ADAUSD,0.829432,0.769401,0.804771,10258060.73535716,1739836088.6308854
DOTUSD,5.06870,4.77730,4.87410,248988.00522889,1739836088.6309025
XETHZUSD,2847.00000,2640.00000,2738.02000,20106.79553296,1739836088.6309047
LINKUSD,19.780000,18.391360,19.039810,239300.47366939,1739836088.6309063
XLTCZUSD,128.75000,120.13000,122.30000,46380.41258104,1739836088.6309085
MATICUSD,0.334700,0.312900,0.318800,890279.84894459,1739836088.6309106
SOLUSD,189.71000,174.60000,177.87000,301548.58752264,1739836088.6309133
XXBTZUSD,97032.60000,95224.70000,95739.40000,1004.44580323,1739836088.6309156
XDGUSD,0.268831000,0.253704100,0.257496900,39484177.69255501,1739836088.6309187
XXRPZUSD,2.76322000,2.60761000,2.65388000,32838989.97372721,1739836088.6309206
ADAUSD,0.829432,0.769401,0.805385,10251484.46619877,1739836148.818365
DOTUSD,5.06870,4.77730,4.88140,249352.64135752,1739836148.8183682
XETHZUSD,2847.00000,2640.00000,2740.00000,20112.71778196,1739836148.818369
LINKUSD,19.780000,18.391360,19.054290,236310.79709878,1739836148.8183703
XLTCZUSD,128.75000,120.13000,122.29000,46246.52693797,1739836148.818372
MATICUSD,0.334700,0.312900,0.318800,834354.46894459,1739836148.8183737
SOLUSD,189.71000,174.60000,177.97000,301511.42169843,1739836148.8183744
XXBTZUSD,97032.60000,95224.70000,95739.40000,1004.94836759,1739836148.8183756
XDGUSD,0.268831000,0.253704100,0.257743200,39484841.32914815,1739836148.8183768
XXRPZUSD,2.76322000,2.60761000,2.65426000,32839492.28094303,1739836148.8183777
ADAUSD,0.829432,0.769401,0.805804,10250590.30877580,1739836209.0116363
DOTUSD,5.06870,4.77730,4.88140,249147.27945935,1739836209.0116394
XETHZUSD,2847.00000,2640.00000,2740.00000,20086.98398227,1739836209.0116413
LINKUSD,19.780000,18.391360,19.054290,236310.79709878,1739836209.0116434
XLTCZUSD,128.75000,120.13000,122.26000,46247.01585126,1739836209.0116456
MATICUSD,0.334700,0.312900,0.318800,833948.08669833,1739836209.011647
SOLUSD,189.71000,174.60000,177.92000,301523.92498112,1739836209.0116491
XXBTZUSD,97032.60000,95224.70000,95739.40000,1004.79425729,1739836209.0116503
XDGUSD,0.268831000,0.253704100,0.257901400,39485057.69751313,1739836209.011652
XXRPZUSD,2.76322000,2.60761000,2.65636000,32841273.49877907,1739836209.0116541
ADAUSD,0.829432,0.769401,0.806999,10250267.58909631,1739836269.201764
DOTUSD,5.06870,4.77730,4.88140,249153.57407090,1739836269.2017682
XETHZUSD,2847.00000,2640.00000,2740.00000,20087.58102617,1739836269.2017696
LINKUSD,19.780000,18.391360,19.098740,235946.68767161,1739836269.2017713
XLTCZUSD,128.75000,120.13000,122.26000,46248.49973394,1739836269.2017734
MATICUSD,0.334700,0.312900,0.318800,832479.84679178,1739836269.2017756
SOLUSD,189.71000,174.60000,177.94000,301471.35651558,1739836269.201778
XXBTZUSD,97032.60000,95224.70000,95739.30000,1007.10165766,1739836269.2017808
XDGUSD,0.268831000,0.253704100,0.257901300,39347123.74135349,1739836269.2017822
XXRPZUSD,2.76322000,2.60761000,2.65830000,32894723.84858582,1739836269.2017844
ADAUSD,0.829432,0.769401,0.807640,10249341.72475803,1739836329.471157
DOTUSD,5.06870,4.77730,4.88140,249152.57407090,1739836329.471161
XETHZUSD,2847.00000,2640.00000,2739.90000,20087.70942879,1739836329.471162
LINKUSD,19.780000,18.391360,19.098740,235946.68767161,1739836329.4711642
XLTCZUSD,128.75000,120.13000,122.26000,46248.34014250,1739836329.4711664
MATICUSD,0.334700,0.312900,0.318800,832479.84679178,1739836329.4711692
SOLUSD,189.71000,174.60000,177.85000,301473.06762423,1739836329.4711711
XXBTZUSD,97032.60000,95224.70000,95739.30000,1007.10388044,1739836329.4711728
XDGUSD,0.268831000,0.253704100,0.257944300,39347295.60135349,1739836329.4711747
XXRPZUSD,2.76322000,2.60761000,2.65807000,32896558.62765854,1739836329.4711769
ADAUSD,0.829432,0.769401,0.807416,10251224.09325803,1739836389.7207508
DOTUSD,5.06870,4.77730,4.88140,249150.57407090,1739836389.7207549
XETHZUSD,2847.00000,2640.00000,2741.29000,20088.93228909,1739836389.7207565
LINKUSD,19.780000,18.391360,19.090660,235946.98372913,1739836389.7207582
XLTCZUSD,128.75000,120.13000,122.26000,46248.34014250,1739836389.7207596
MATICUSD,0.334700,0.312900,0.318800,832479.84679178,1739836389.720761
SOLUSD,189.71000,174.60000,177.86000,301473.42445746,1739836389.7207634
XXBTZUSD,97032.60000,95224.70000,95739.30000,1006.63497524,1739836389.720765
