Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.149783,1.004508,1.021384,34753565.12363363,1737326141.619107
DOTUSD,7.22500,6.31400,6.39310,1128298.71697192,1737326141.6191103
XETHZUSD,3445.01000,3125.40000,3253.96000,49966.44273906,1737326141.6191125
LINKUSD,26.646850,22.123330,24.449500,977563.86793262,1737326141.6191142
XLTCZUSD,128.48000,114.18000,117.57000,73352.91043840,1737326141.619116
MATICUSD,0.494000,0.442600,0.455000,2259948.94854751,1737326141.619118
SOLUSD,296.00000,244.23000,252.76000,1635486.04996009,1737326141.6191201
XXBTZUSD,106246.60000,102661.20000,103529.90000,3214.54600598,1737326141.6191242
XDGUSD,0.409490800,0.358197000,0.368406900,205266381.95954687,1737326141.6191258
XXRPZUSD,3.28696000,3.03161000,3.08051000,62651094.62374991,1737326141.6191273
ADAUSD,1.149783,1.004508,1.021450,34761153.83125422,1737326201.8262782
DOTUSD,7.22500,6.31400,6.38040,1128575.81438448,1737326201.826281
XETHZUSD,3445.01000,3125.40000,3244.36000,50003.78427947,1737326201.8262818
LINKUSD,26.646850,22.123330,24.339090,978442.07727532,1737326201.8262825
XLTCZUSD,128.48000,114.18000,117.16000,73361.73757104,1737326201.8262832
MATICUSD,0.494000,0.442600,0.453100,2260641.97821751,1737326201.826285
SOLUSD,296.00000,244.23000,254.31000,1635915.43178308,1737326201.826286
XXBTZUSD,106246.60000,102661.20000,103476.00000,3216.74866808,1737326201.8262873
XDGUSD,0.409490800,0.358197000,0.367262600,205392066.29818228,1737326201.8262885
XXRPZUSD,3.28696000,3.03161000,3.06972000,62723263.96167073,1737326201.8262892
ADAUSD,1.149783,1.004508,1.020701,34764290.73832292,1737326262.0310855
DOTUSD,7.22500,6.31400,6.36810,1128516.15666720,1737326262.031088
XETHZUSD,3445.01000,3125.40000,3244.77000,50006.99746825,1737326262.0310898
LINKUSD,26.646850,22.123330,24.366800,978516.85225097,1737326262.0310917
XLTCZUSD,128.48000,114.18000,117.40000,73164.54543908,1737326262.0310938
MATICUSD,0.494000,0.442600,0.453800,2259061.45039217,1737326262.031096
SOLUSD,296.00000,244.23000,251.90000,1638561.72369091,1737326262.0310984
XXBTZUSD,106246.60000,102661.20000,103390.30000,3217.71011732,1737326262.0311007
XDGUSD,0.409490800,0.358197000,0.366694100,205601288.74107085,1737326262.031102
XXRPZUSD,3.28696000,3.03161000,3.06776000,62766714.19365876,1737326262.0311031
ADAUSD,1.149783,1.004508,1.018814,34713901.58891977,1737326322.254037
DOTUSD,7.22500,6.31400,6.36230,1129592.11770546,1737326322.2540405
XETHZUSD,3445.01000,3125.40000,3241.54000,50037.40405027,1737326322.2540414
LINKUSD,26.646850,22.123330,24.343160,978634.48808641,1737326322.254042
XLTCZUSD,128.48000,114.18000,117.04000,73068.12034618,1737326322.2540426
MATICUSD,0.494000,0.442600,0.452900,2259081.12582217,1737326322.2540438
SOLUSD,296.00000,244.23000,249.61000,1639446.58893915,1737326322.2540452
XXBTZUSD,106246.60000,102661.20000,103360.00000,3207.72962951,1737326322.254047
XDGUSD,0.409490800,0.358197000,0.365958800,205814391.79406577,1737326322.2540483
XXRPZUSD,3.28696000,3.03161000,3.06169000,62803673.57445678,1737326322.2540498
ADAUSD,1.149783,1.004508,1.017221,34731227.70137314,1737326382.4644854
DOTUSD,7.22500,6.31400,6.33750,1130856.05303981,1737326382.4644873
XETHZUSD,3445.01000,3125.40000,3224.66000,50039.31131580,1737326382.464488
LINKUSD,26.646850,22.123330,24.141930,979826.57692401,1737326382.4644887
XLTCZUSD,128.48000,114.18000,116.44000,73064.22331174,1737326382.4644895
MATICUSD,0.494000,0.442600,0.451300,2260093.84039105,1737326382.4644904
SOLUSD,296.00000,244.23000,248.64000,1640180.53625478,1737326382.4644914
XXBTZUSD,106246.60000,102661.20000,103100.10000,3210.02281990,1737326382.4644923
XDGUSD,0.409490800,0.358197000,0.364047700,205895374.02434107,1737326382.4644928
XXRPZUSD,3.28696000,3.03161000,3.05172000,62862479.86352830,1737326382.464494
ADAUSD,1.149783,1.004508,1.016548,34792799.60401318,1737326442.6806977
DOTUSD,7.22500,6.31400,6.34560,1132386.40257244,1737326442.6807017
XETHZUSD,3445.01000,3125.40000,3240.97000,49995.49433435,1737326442.6807032
LINKUSD,26.646850,22.123330,24.232670,980281.23567961,1737326442.680705
XLTCZUSD,128.48000,114.18000,116.73000,73114.57072296,1737326442.6807063
MATICUSD,0.494000,0.442600,0.451000,2260118.84039105,1737326442.680708
SOLUSD,296.00000,244.23000,248.76000,1642436.08870281,1737326442.6807098
XXBTZUSD,106246.60000,102661.20000,103286.20000,3213.81136192,1737326442.680712
XDGUSD,0.409490800,0.358197000,0.365427400,205590787.30074795,1737326442.6807134
XXRPZUSD,3.28696000,3.03161000,3.05670000,62998966.25101697,1737326442.6807148
ADAUSD,1.149783,1.004508,1.016368,34805806.05250693,1737326502.8897848
DOTUSD,7.22500,6.31400,6.34980,1132385.78044661,1737326502.8897872
XETHZUSD,3445.01000,3125.40000,3231.25000,49998.14935682,1737326502.8897882
LINKUSD,26.646850,22.123330,24.292570,981148.88944358,1737326502.889789
XLTCZUSD,128.48000,114.18000,116.45000,73076.98544146,1737326502.8897905
MATICUSD,0.494000,0.442600,0.451000,2260118.84039105,1737326502.889792
SOLUSD,296.00000,244.23000,246.72000,1643400.34862796,1737326502.889793
XXBTZUSD,106246.60000,102661.20000,103079.40000,3239.71710897,1737326502.8897943
XDGUSD,0.409490800,0.358197000,0.364740100,205695636.93485870,1737326502.8897955
XXRPZUSD,3.28696000,3.03161000,3.05133000,63013840.64850557,1737326502.8897963
ADAUSD,1.149783,1.004508,1.016866,34812291.64514424,1737326563.089071
DOTUSD,7.22500,6.31400,6.34940,1132404.74933024,1737326563.0890741
XETHZUSD,3445.01000,3125.40000,3236.49000,50000.41848682,1737326563.089075
LINKUSD,26.646850,22.123330,24.288690,981819.66091654,1737326563.0890758
XLTCZUSD,128.48000,114.18000,116.28000,73168.52196904,1737326563.0890768
MATICUSD,0.494000,0.442600,0.451000,2260110.30932408,1737326563.0890777
SOLUSD,296.00000,244.23000,246.71000,1645091.36575021,1737326563.089079
XXBTZUSD,106246.60000,102661.20000,102949.90000,3247.84155162,1737326563.08908
XDGUSD,0.409490800,0.358197000,0.365977100,205773138.72612730,1737326563.0890808
XXRPZUSD,3.28696000,3.03161000,3.05804000,63148372.79721297,1737326563.0890815
ADAUSD,1.149783,1.004508,1.016195,34837851.69131435,1737326623.3081105
DOTUSD,7.22500,6.31400,6.33640,1134408.97167661,1737326623.3081124
XETHZUSD,3445.01000,3125.40000,3228.89000,50076.16580324,1737326623.308113
LINKUSD,26.646850,22.123330,24.272700,981871.47905654,1737326623.3081138
XLTCZUSD,128.48000,114.18000,116.26000,72984.06459719,1737326623.308115
MATICUSD,0.494000,0.442600,0.450900,2260086.51426632,1737326623.3081162
SOLUSD,296.00000,244.23000,247.22000,1647025.21468497,1737326623.308117
XXBTZUSD,106246.60000,102661.20000,102879.90000,3253.31377968,1737326623.3081179
XDGUSD,0.409490800,0.358197000,0.365397200,205792851.73258267,1737326623.3081186
