Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.028399,0.951005,1.002523,15119833.15887734,1737512390.5909758
DOTUSD,6.84320,6.15510,6.59340,404999.78617910,1737512390.59098
XETHZUSD,3364.82000,3210.20000,3333.24000,22416.43143862,1737512390.5909824
LINKUSD,27.200000,23.674270,26.481140,499830.16601526,1737512390.5909848
XLTCZUSD,125.03000,113.65000,118.40000,37834.33332653,1737512390.5909867
MATICUSD,0.464400,0.428000,0.450100,576616.93669694,1737512390.590989
SOLUSD,260.00000,230.15000,251.35000,487656.28715260,1737512390.590991
XXBTZUSD,107200.00000,101000.00000,105882.40000,2532.22143558,1737512390.5909956
XDGUSD,0.401425600,0.335255400,0.370708700,199104829.19969207,1737512390.5909972
XXRPZUSD,3.23975000,3.01200000,3.17918000,36794696.50961885,1737512390.590999
ADAUSD,1.028399,0.951005,1.002523,15120411.52248410,1737512450.8138192
DOTUSD,6.84320,6.15510,6.59520,405040.56485713,1737512450.8138223
XETHZUSD,3364.82000,3210.20000,3333.42000,22415.11067646,1737512450.8138232
LINKUSD,27.200000,23.674270,26.470010,501177.20670972,1737512450.813824
XLTCZUSD,125.03000,113.65000,118.40000,38042.17246196,1737512450.8138247
MATICUSD,0.464400,0.428000,0.450100,576616.93669694,1737512450.8138256
SOLUSD,260.00000,230.15000,251.54000,487938.90084491,1737512450.8138266
XXBTZUSD,107200.00000,101000.00000,105882.40000,2532.07388102,1737512450.8138275
XDGUSD,0.401425600,0.335255400,0.370586400,199127046.66932102,1737512450.8138287
XXRPZUSD,3.23975000,3.01200000,3.18000000,36791297.86760044,1737512450.8138297
ADAUSD,1.028399,0.951005,1.004089,15128693.02552293,1737512510.9576132
DOTUSD,6.84320,6.15510,6.59530,405040.54119603,1737512510.9576163
XETHZUSD,3364.82000,3210.20000,3333.79000,22417.06150677,1737512510.9576178
LINKUSD,27.200000,23.674270,26.480010,502911.94798554,1737512510.9576192
XLTCZUSD,125.03000,113.65000,118.40000,39000.74359135,1737512510.9576204
MATICUSD,0.464400,0.428000,0.450100,576616.93669694,1737512510.957622
SOLUSD,260.00000,230.15000,251.80000,487830.24117239,1737512510.9576232
XXBTZUSD,107200.00000,101000.00000,105882.30000,2532.06594267,1737512510.9576247
XDGUSD,0.401425600,0.335255400,0.370728900,199143450.90993587,1737512510.9576256
XXRPZUSD,3.23975000,3.01200000,3.18663000,36792423.95096703,1737512510.9576266
ADAUSD,1.028399,0.951005,1.003765,15128835.58526859,1737512571.2628198
DOTUSD,6.84320,6.15510,6.59530,405300.02413094,1737512571.2628236
XETHZUSD,3364.82000,3210.20000,3335.13000,22418.06265278,1737512571.2628245
LINKUSD,27.200000,23.674270,26.480010,502995.32591673,1737512571.2628255
XLTCZUSD,125.03000,113.65000,118.40000,39293.58218747,1737512571.2628262
MATICUSD,0.464400,0.428000,0.450100,576616.93669694,1737512571.2628276
SOLUSD,260.00000,230.15000,251.55000,487688.75702617,1737512571.2628284
XXBTZUSD,107200.00000,101000.00000,105882.40000,2532.02486417,1737512571.2628298
XDGUSD,0.401425600,0.335255400,0.370565800,199170711.60350256,1737512571.2628305
XXRPZUSD,3.23975000,3.01200000,3.18546000,36790445.51255745,1737512571.2628317
ADAUSD,1.028399,0.951005,1.004703,15120865.51485593,1737512631.4120083
DOTUSD,6.84320,6.15510,6.59530,405297.02845319,1737512631.4120119
XETHZUSD,3364.82000,3210.20000,3335.76000,22418.87110780,1737512631.4120128
LINKUSD,27.200000,23.674270,26.506530,503135.40115332,1737512631.4120145
XLTCZUSD,125.03000,113.65000,118.40000,39342.93257442,1737512631.412016
MATICUSD,0.464400,0.428000,0.450600,577865.17274921,1737512631.412017
SOLUSD,260.00000,230.15000,251.63000,486596.75739059,1737512631.4120178
XXBTZUSD,107200.00000,101000.00000,105967.80000,2532.19721847,1737512631.412019
XDGUSD,0.401425600,0.335255400,0.370707900,199163159.53372956,1737512631.4120204
XXRPZUSD,3.23975000,3.01200000,3.18721000,36795689.17081648,1737512631.4120214
ADAUSD,1.028399,0.951005,1.004824,15123505.49140477,1737512691.5647447
DOTUSD,6.84320,6.15510,6.60680,405278.46890840,1737512691.5647478
XETHZUSD,3364.82000,3210.20000,3335.77000,22431.80278979,1737512691.5647488
LINKUSD,27.200000,23.674270,26.524770,503346.23524898,1737512691.5647492
XLTCZUSD,125.03000,113.65000,118.35000,39522.89864596,1737512691.5647504
MATICUSD,0.464400,0.428000,0.450600,577865.17274921,1737512691.5647514
SOLUSD,260.00000,230.15000,251.52000,486520.21988644,1737512691.564752
XXBTZUSD,107200.00000,101000.00000,105967.30000,2515.83434244,1737512691.5647526
XDGUSD,0.401425600,0.335255400,0.370647100,199138103.20017949,1737512691.564754
XXRPZUSD,3.23975000,3.01200000,3.18501000,36807004.18798916,1737512691.564756
ADAUSD,1.028399,0.951005,1.005042,15122611.74511042,1737512751.6992612
DOTUSD,6.84320,6.15510,6.60260,405343.69438609,1737512751.699264
XETHZUSD,3364.82000,3210.20000,3335.77000,22428.43204489,1737512751.6992648
LINKUSD,27.200000,23.674270,26.552670,503322.96197244,1737512751.6992662
XLTCZUSD,125.03000,113.65000,118.35000,39521.71190472,1737512751.6992674
MATICUSD,0.464400,0.428000,0.451000,577878.06797817,1737512751.6992683
SOLUSD,260.00000,230.15000,251.50000,486511.11646095,1737512751.6992695
XXBTZUSD,107200.00000,101000.00000,105967.90000,2515.11878151,1737512751.6992705
XDGUSD,0.401425600,0.335255400,0.370540600,199134016.29906055,1737512751.6992714
XXRPZUSD,3.23975000,3.01200000,3.18501000,36769048.77202489,1737512751.6992726
ADAUSD,1.028399,0.951005,1.003722,15123243.86438004,1737512811.8413038
DOTUSD,6.84320,6.15510,6.60020,404996.84083923,1737512811.8413064
XETHZUSD,3364.82000,3210.20000,3333.34000,22439.68485265,1737512811.8413072
LINKUSD,27.200000,23.674270,26.552670,503318.46583562,1737512811.841308
XLTCZUSD,125.03000,113.65000,118.27000,39625.17566328,1737512811.8413088
MATICUSD,0.464400,0.428000,0.451000,577878.06797817,1737512811.8413098
SOLUSD,260.00000,230.15000,251.27000,486401.09155603,1737512811.8413107
XXBTZUSD,107200.00000,101000.00000,105987.40000,2514.75903275,1737512811.8413112
XDGUSD,0.401425600,0.335255400,0.370470600,199058103.94854192,1737512811.841312
XXRPZUSD,3.23975000,3.01200000,3.18680000,36764712.40045438,1737512811.841313
ADAUSD,1.028399,0.951005,1.005471,15123313.49066243,1737512871.9926612
DOTUSD,6.84320,6.15510,6.61130,405474.68237169,1737512871.992664
XETHZUSD,3364.82000,3210.20000,3335.33000,22439.46810700,1737512871.9926648
LINKUSD,27.200000,23.674270,26.640000,504146.35502128,1737512871.9926655
XLTCZUSD,125.03000,113.65000,118.27000,40127.96086943,1737512871.9926665
MATICUSD,0.464400,0.428000,0.451200,577882.10284817,1737512871.9926672
SOLUSD,260.00000,230.15000,251.71000,486378.75608011,1737512871.992668
XXBTZUSD,107200.00000,101000.00000,106108.50000,2514.31708439,1737512871.9926686
XDGUSD,0.401425600,0.335255400,0.370498600,199029589.61562740,1737512871.992669
XXRPZUSD,3.23975000,3.01200000,3.19090000,36759619.55521150,1737512871.99267
ADAUSD,1.028399,0.951005,1.004616,15113530.35962728,1737512932.2198117
DOTUSD,6.84320,6.15510,6.61520,405480.51984857,1737512932.2198145
XETHZUSD,3364.82000,3210.20000,3332.83000,22439.43832529,1737512932.2198155
LINKUSD,27.200000,23.674270,26.643600,507075.11004182,1737512932.2198162
XLTCZUSD,125.03000,113.65000,118.33000,40129.77761115,1737512932.2198172
MATICUSD,0.464400,0.428000,0.451200,577882.10284817,1737512932.2198179
SOLUSD,260.00000,230.15000,251.47000,486504.40322363,1737512932.219819
XXBTZUSD,107200.00000,101000.00000,106080.70000,2513.84816736,1737512932.21982
