Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,0.988172,0.936649,0.970201,9010905.40408182,1738331981.7842617
DOTUSD,6.40860,6.03380,6.32100,373609.14374382,1738331981.784264
XETHZUSD,3363.96000,3215.00000,3355.63000,17310.61900723,1738331981.7842662
LINKUSD,25.965000,24.127410,25.621590,221042.83231126,1738331981.7842677
XLTCZUSD,135.20000,125.74000,129.74000,78809.47831197,1738331981.7842696
MATICUSD,0.420400,0.405500,0.416300,544159.80111490,1738331981.7842717
SOLUSD,244.69000,234.31000,240.30000,161426.91244509,1738331981.784273
XXBTZUSD,106414.40000,103882.20000,104622.70000,1270.32979617,1738331981.784276
XDGUSD,0.338586600,0.325818700,0.335746400,37310522.90873523,1738331981.7842772
XXRPZUSD,3.15570000,3.06000000,3.09500000,19475364.22207608,1738331981.7842786
ADAUSD,0.988172,0.936649,0.970201,9010166.98869192,1738332012.1301498
DOTUSD,6.40860,6.03380,6.32890,374423.68474382,1738332012.1301777
XETHZUSD,3363.96000,3215.00000,3354.41000,17310.88030508,1738332012.1301794
LINKUSD,25.965000,24.127410,25.621590,221042.20796597,1738332012.130181
XLTCZUSD,135.20000,125.74000,129.77000,78802.47577734,1738332012.130183
MATICUSD,0.420400,0.405500,0.416300,544132.48427842,1738332012.1301844
SOLUSD,244.69000,234.31000,240.29000,161422.19182455,1738332012.130186
XXBTZUSD,106414.40000,103882.20000,104650.00000,1268.15708682,1738332012.130187
XDGUSD,0.338586600,0.325818700,0.335527200,37305118.11884545,1738332012.130188
XXRPZUSD,3.15570000,3.06000000,3.09501000,19474997.41841416,1738332012.1301887
ADAUSD,0.988172,0.936649,0.970201,9009995.55269882,1738332042.473409
DOTUSD,6.40860,6.03380,6.32890,374423.68474382,1738332042.473411
XETHZUSD,3363.96000,3215.00000,3355.02000,17191.04415842,1738332042.4734123
LINKUSD,25.965000,24.127410,25.640570,220388.12568798,1738332042.4734137
XLTCZUSD,135.20000,125.74000,129.77000,78801.70066744,1738332042.4734151
MATICUSD,0.420400,0.405500,0.416300,543695.06454925,1738332042.4734166
SOLUSD,244.69000,234.31000,240.30000,161492.91395109,1738332042.4734175
XXBTZUSD,106414.40000,103882.20000,104650.00000,1268.15235405,1738332042.4734182
