Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.144900,1.026820,1.122955,19405521.24207965,1737095641.3648171
DOTUSD,7.40320,6.84880,7.38720,488842.05195525,1737095641.3648202
XETHZUSD,3393.51000,3265.46000,3370.54000,17204.27774363,1737095641.3648229
LINKUSD,24.245520,21.309640,24.114760,474212.40718684,1737095641.3648245
XLTCZUSD,140.81000,115.77000,138.76000,118584.65173293,1737095641.364826
MATICUSD,0.492000,0.468000,0.492000,797192.05016271,1737095641.3648276
SOLUSD,216.90000,198.32000,212.90000,417048.90489123,1737095641.3648293
XXBTZUSD,102000.00000,97333.00000,101433.50000,1986.91784124,1737095641.3648305
XDGUSD,0.389923100,0.367916500,0.386148100,100327570.34520484,1737095641.3648381
XXRPZUSD,3.39987000,3.02106000,3.31153000,114741418.07201595,1737095641.3648403
ADAUSD,1.144900,1.026820,1.122801,19405872.91615190,1737095701.7826138
DOTUSD,7.40320,6.84880,7.38720,488842.05195525,1737095701.7826164
XETHZUSD,3393.51000,3265.46000,3369.11000,17205.57080140,1737095701.7826173
LINKUSD,24.245520,21.309640,24.061870,474107.63692517,1737095701.7826183
XLTCZUSD,140.81000,115.77000,138.56000,118557.52182280,1737095701.7826192
MATICUSD,0.492500,0.468000,0.492500,797095.72790271,1737095701.7826204
SOLUSD,216.90000,198.32000,212.76000,416960.35019853,1737095701.7826211
XXBTZUSD,102000.00000,97333.00000,101398.30000,1987.38989940,1737095701.7826219
XDGUSD,0.389923100,0.367916500,0.385347100,100328479.39758982,1737095701.7826228
XXRPZUSD,3.39987000,3.02106000,3.31118000,114738606.76045303,1737095701.7826233
ADAUSD,1.144900,1.026820,1.123000,19407808.28898937,1737095762.082899
DOTUSD,7.40320,6.84880,7.37510,488771.89898847,1737095762.082904
XETHZUSD,3393.51000,3265.46000,3369.65000,17200.03050557,1737095762.0829055
LINKUSD,24.245520,21.309640,24.074820,474150.42892517,1737095762.082907
XLTCZUSD,140.81000,115.77000,138.50000,118563.72998624,1737095762.0829086
MATICUSD,0.492900,0.468000,0.492900,799979.47715514,1737095762.082911
SOLUSD,216.90000,198.32000,212.74000,416955.76215847,1737095762.0829127
XXBTZUSD,102000.00000,97333.00000,101370.10000,1987.28508272,1737095762.0829144
