Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.019198,0.978808,0.989167,8855313.46400508,1737573952.3596144
DOTUSD,6.79890,6.45970,6.51800,297102.34458376,1737573952.3596175
XETHZUSD,3363.77000,3240.24000,3268.23000,13891.18254949,1737573952.3596187
LINKUSD,27.200000,25.213320,25.468360,381374.72884531,1737573952.3596194
XLTCZUSD,121.47000,114.74000,117.19000,27781.75355908,1737573952.35962
MATICUSD,0.458600,0.441600,0.444300,478581.34671558,1737573952.359621
SOLUSD,264.61000,246.75000,255.65000,287619.01512729,1737573952.3596222
XXBTZUSD,107138.60000,103271.30000,104553.90000,1594.93576620,1737573952.359623
XDGUSD,0.385414600,0.355509800,0.358517500,63626231.16190934,1737573952.3596246
XXRPZUSD,3.25924000,3.13000000,3.17025000,27606976.02149897,1737573952.3596263
ADAUSD,1.019198,0.978808,0.989167,8855018.04150508,1737574012.6957855
DOTUSD,6.79890,6.45970,6.51800,297102.34458376,1737574012.6957881
XETHZUSD,3363.77000,3240.24000,3266.74000,13892.56642753,1737574012.695789
LINKUSD,27.200000,25.213320,25.450050,381233.44830655,1737574012.6957903
XLTCZUSD,121.47000,114.74000,117.19000,27791.89681511,1737574012.6957912
MATICUSD,0.458600,0.441600,0.444300,478581.34671558,1737574012.695793
SOLUSD,264.61000,246.75000,255.69000,287670.89993955,1737574012.6957939
XXBTZUSD,107138.60000,103271.30000,104500.00000,1600.33816899,1737574012.6957946
XDGUSD,0.385414600,0.355509800,0.358433100,63613460.66890388,1737574012.6957963
XXRPZUSD,3.25924000,3.13000000,3.16668000,27579294.51369531,1737574012.6957977
ADAUSD,1.019198,0.978808,0.989426,8952031.22987447,1737574073.0182376
DOTUSD,6.79890,6.45970,6.51800,297087.41112068,1737574073.018241
XETHZUSD,3363.77000,3240.24000,3266.73000,13908.99196951,1737574073.0182421
LINKUSD,27.200000,25.213320,25.441930,381289.94520908,1737574073.0182428
XLTCZUSD,121.47000,114.74000,117.21000,27774.79252624,1737574073.0182438
MATICUSD,0.458600,0.441600,0.444300,477884.51145558,1737574073.0182452
SOLUSD,264.61000,246.75000,255.68000,287720.22853737,1737574073.0182464
XXBTZUSD,107138.60000,103271.30000,104511.70000,1599.27355617,1737574073.0182478
XDGUSD,0.385414600,0.355509800,0.358492800,63608331.77803619,1737574073.0182493
XXRPZUSD,3.25924000,3.13000000,3.17000000,27580703.14970111,1737574073.0182507
ADAUSD,1.019198,0.978808,0.992125,8952663.40887507,1737574133.2248049
DOTUSD,6.79890,6.45970,6.52250,297087.35737419,1737574133.2248073
XETHZUSD,3363.77000,3240.24000,3267.81000,13912.49473027,1737574133.2248082
LINKUSD,27.200000,25.213320,25.439680,381036.53494337,1737574133.2248092
XLTCZUSD,121.47000,114.74000,117.12000,27779.51555252,1737574133.2248101
MATICUSD,0.458600,0.441600,0.444700,477993.64744558,1737574133.2248113
SOLUSD,264.61000,246.75000,256.25000,287652.56531513,1737574133.2248132
XXBTZUSD,107138.60000,103271.30000,104502.90000,1598.97303044,1737574133.224815
XDGUSD,0.385414600,0.355509800,0.358828400,63645858.59550363,1737574133.224816
XXRPZUSD,3.25924000,3.13000000,3.17102000,27571009.81915284,1737574133.224817
ADAUSD,1.019198,0.978808,0.992125,8952574.02444607,1737574193.4152296
DOTUSD,6.79890,6.45970,6.52250,297080.62504315,1737574193.4152334
XETHZUSD,3363.77000,3240.24000,3267.81000,13912.05509769,1737574193.4152343
LINKUSD,27.200000,25.213320,25.468060,380042.73872822,1737574193.4152355
XLTCZUSD,121.47000,114.74000,117.24000,27778.45318018,1737574193.415237
MATICUSD,0.458200,0.441600,0.444700,477590.14637832,1737574193.415238
SOLUSD,264.61000,246.75000,256.24000,287969.76815982,1737574193.4152393
XXBTZUSD,107138.60000,103271.30000,104450.00000,1593.24145517,1737574193.4152408
XDGUSD,0.385414600,0.355509800,0.358917500,63644096.54736403,1737574193.4152415
XXRPZUSD,3.25924000,3.13000000,3.16933000,27570720.07487624,1737574193.4152431
ADAUSD,1.019198,0.978808,0.991347,8952999.87658129,1737574253.7258472
DOTUSD,6.79890,6.45970,6.52250,297053.23420167,1737574253.7258499
XETHZUSD,3363.77000,3240.24000,3267.32000,13631.95433543,1737574253.7258508
LINKUSD,27.200000,25.213320,25.437890,380073.94613822,1737574253.7258523
XLTCZUSD,121.47000,114.74000,117.24000,27778.27988426,1737574253.7258534
MATICUSD,0.458200,0.441600,0.444700,477590.14637832,1737574253.7258554
SOLUSD,264.61000,246.75000,256.17000,284923.07014642,1737574253.7258565
XXBTZUSD,107138.60000,103271.30000,104450.10000,1593.04963326,1737574253.7258573
XDGUSD,0.385414600,0.355509800,0.359261600,63636278.79424636,1737574253.7258592
XXRPZUSD,3.25924000,3.13000000,3.16988000,27560896.57717232,1737574253.72586
ADAUSD,1.019198,0.978808,0.991157,8953795.39980727,1737574313.985027
