Timestamp,ADA_Open,BTC_Open,DOT_Open,ETH_Open,LTC_Open,SOL_Open,XRP_Open,ADA_High,BTC_High,DOT_High,ETH_High,LTC_High,SOL_High,XRP_High,ADA_Low,BTC_Low,DOT_Low,ETH_Low,LTC_Low,SOL_Low,XRP_Low,ADA_Close,BTC_Close,DOT_Close,ETH_Close,LTC_Close,SOL_Close,XRP_Close,ADA_VWAP,BTC_VWAP,DOT_VWAP,ETH_VWAP,LTC_VWAP,SOL_VWAP,XRP_VWAP,ADA_Volume,BTC_Volume,DOT_Volume,ETH_Volume,LTC_Volume,SOL_Volume,XRP_Volume,ADA_Count,BTC_Count,DOT_Count,ETH_Count,LTC_Count,SOL_Count,XRP_Count,ADA_Volatility,BTC_Volatility,DOT_Volatility,ETH_Volatility,LTC_Volatility,SOL_Volatility,XRP_Volatility,ADA_Price_Change,BTC_Price_Change,DOT_Price_Change,ETH_Price_Change,LTC_Price_Change,SOL_Price_Change,XRP_Price_Change,ADA_RSI,BTC_RSI,DOT_RSI,ETH_RSI,LTC_RSI,SOL_RSI,XRP_RSI,ADA_MA_7,BTC_MA_7,DOT_MA_7,ETH_MA_7,LTC_MA_7,SOL_MA_7,XRP_MA_7,ADA_MA_14,BTC_MA_14,DOT_MA_14,ETH_MA_14,LTC_MA_14,SOL_MA_14,XRP_MA_14
2023-02-23,0.389023,24187.7,7.1842,1643.4,95.25,24.16,0.39527,0.394586,24602.8,7.3778,1678.0,96.23,24.69,0.39751,0.379835,23615.3,7.018,1628.61,93.5,23.57,0.38557,0.382747,23942.4,7.102,1650.54,94.62,23.92,0.38832,0.388157,24159.9,7.218,1652.12,94.93,24.03,0.39009,5786706.469,5276.981508,327668.8414,31354.05642,11598.98301,569939.2354,4914614.459,3524,36426,3212,12132,2907,7022,1665,0.014751,987.5,0.3598,49.39,2.73,1.12,0.01194,-0.006276,-245.3,-0.0822,7.14,-0.63,-0.24,-0.00695,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.382747,23942.4,7.102,1650.54,94.62,23.92,0.38832,0.382747,23942.4,7.102,1650.54,94.62,23.92,0.38832
2023-02-24,0.382042,23946.4,7.1012,1650.54,94.62,23.92,0.38833,0.385276,24134.3,7.1406,1664.52,95.24,24.15,0.39061,0.358057,22800.8,6.4787,1575.0,90.07,22.5,0.37269,0.365521,23193.8,6.6141,1607.87,91.58,23.08,0.37835,0.369964,23430.0,6.7442,1621.81,92.1,23.47,0.38082,12400000.0,4096.384087,545849.6842,34315.98976,17944.73545,462061.9447,6171056.354,4917,38219,4907,12774,3229,5933,2129,0.027219,1333.5,0.6619,89.52,5.17,1.65,0.01792,-0.017226,-748.6,-0.4879,-42.67,-3.04,-0.84,-0.00997,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.374134,23568.1,6.85805,1629.205,93.1,23.5,0.383335,0.374134,23568.1,6.85805,1629.205,93.1,23.5,0.383335
2023-02-25,0.365665,23193.7,6.6128,1607.86,91.58,23.08,0.37812,0.367403,23224.9,6.6464,1608.58,93.46,23.32,0.3793,0.351603,22739.9,6.3358,1558.29,90.43,21.44,0.36944,0.362221,23167.3,6.5443,1594.81,93.23,22.36,0.37786,0.361269,23021.4,6.5105,1588.51,91.82,22.38,0.37547,2840920.237,1909.525231,273295.0692,15981.55438,12092.20088,304644.1535,2739621.978,1695,23294,2312,7601,2977,4992,1301,0.0158,485.0,0.3106,50.29,3.03,1.88,0.00986,-0.0033,-26.5,-0.0698,-13.06,1.65,-0.72,-0.00049,100.0,100.0,100.0,100.0,35.18123667,100.0,100.0,0.370163,23434.5,6.753466667,1617.74,93.14333333,23.12,0.38151,0.370163,23434.5,6.753466667,1617.74,93.14333333,23.12,0.38151
2023-02-26,0.361328,23167.3,6.5398,1594.51,93.2,22.38,0.37785,0.369931,23685.1,6.7249,1650.0,95.52,23.5,0.38055,0.358,23066.7,6.5044,1586.79,92.83,22.25,0.375,0.368698,23564.5,6.6927,1641.54,95.26,23.28,0.37794,0.363822,23443.1,6.6491,1616.97,94.12,22.89,0.37786,4686607.5,2684.162416,207179.2532,14524.04828,12588.40488,384932.479,2793284.363,1744,24886,1898,7745,2364,4689,1074,0.011931,618.4,0.2205,63.21,2.69,1.25,0.00555,0.006477,397.2,0.1484,46.73,2.03,0.92,8e-05,23.98622375,33.88211209,21.01685314,45.60804216,54.76190476,37.09677419,0.759013283,0.36979675,23467.0,6.738275,1623.69,93.6725,23.16,0.3806175,0.36979675,23467.0,6.738275,1623.69,93.6725,23.16,0.3806175
2023-02-27,0.369064,23564.4,6.6926,1641.64,95.3,23.26,0.37787,0.3699,23885.4,6.7764,1665.0,96.0,23.4,0.38,0.357752,23108.4,6.4957,1609.37,92.56,22.32,0.37088,0.364701,23494.4,6.5799,1633.5,94.14,22.67,0.37871,0.363778,23480.9,6.6316,1638.2,94.53,22.9,0.37587,4533518.299,3324.941853,164925.2521,20589.03206,21845.46895,324214.5789,2273339.66,1967,31007,2021,10725,3256,5580,1248,0.012148,777.0,0.2807,55.63,3.44,1.08,0.00912,-0.003997,-70.1,-0.1128,-8.04,-1.12,-0.61,0.00077,20.89354839,31.97037991,18.1218708,42.28959276,46.93877551,29.77346278,7.515473033,0.3687776,23472.48,6.7066,1625.652,93.766,23.062,0.380236,0.3687776,23472.48,6.7066,1625.652,93.766,23.062,0.380236
2023-02-28,0.364576,23491.1,6.5886,1633.51,94.11,22.69,0.37871,0.367403,23599.0,6.5921,1647.76,95.98,22.75,0.38227,0.348899,23042.0,6.2749,1597.07,93.16,21.78,0.37197,0.351596,23133.2,6.3471,1603.78,93.69,21.86,0.37669,0.35635,23346.2,6.4334,1627.15,94.54,22.28,0.37726,4221955.289,2635.875664,184941.7164,16386.11889,18031.65792,342738.4718,3572767.144,2058,32108,2223,9427,2780,4888,1434,0.018504,557.0,0.3172,50.69,2.82,0.97,0.0103,-0.013105,-361.2,-0.2328,-29.72,-0.45,-0.81,-0.00202,14.68540982,24.76926914,14.11048778,33.32620168,44.39083233,23.58974359,6.376594149,0.365914,23415.93333,6.646683333,1622.006667,93.75333333,22.86166667,0.379645,0.365914,23415.93333,6.646683333,1622.006667,93.75333333,22.86166667,0.379645
2023-03-01,0.351868,23133.2,6.3471,1605.54,93.77,21.89,0.37615,0.363984,23977.0,6.5912,1669.48,98.24,22.89,0.38421,0.349551,23044.0,6.3197,1596.0,93.68,21.68,0.373,0.360285,23634.9,6.5314,1665.22,97.8,22.52,0.38349,0.360651,23634.1,6.4875,1646.62,96.91,22.46,0.38022,7012428.545,3268.56246,159758.9334,18342.27264,22347.69449,295998.7067,4191810.51,2665,35801,2218,10543,3729,4580,1311,0.014433,933.0,0.2715,73.48,4.56,1.21,0.01121,0.008689,501.7,0.1843,61.44,4.11,0.66,0.0068,28.72674925,42.6970028,26.91747573,53.63978975,62.82258065,34.64912281,38.00298063,0.365109857,23447.21429,6.630214286,1628.18,94.33142857,22.81285714,0.380194286,0.365109857,23447.21429,6.630214286,1628.18,94.33142857,22.81285714,0.380194286
2023-03-02,0.36017,23633.7,6.5396,1665.21,97.77,22.5,0.38382,0.361259,23808.0,6.5533,1677.63,98.27,22.73,0.38458,0.344452,23202.0,6.2268,1620.14,93.92,21.67,0.37382,0.35043,23466.5,6.3309,1648.13,95.35,21.99,0.37729,0.351156,23452.8,6.3483,1641.55,95.55,22.0,0.379,4993908.384,2933.027468,163544.5405,20834.93642,18236.98512,244871.0544,2445281.954,2581,29963,2071,10019,3040,3735,1030,0.016807,606.0,0.3265,57.49,4.35,1.06,0.01076,-0.009855,-168.4,-0.2005,-17.09,-2.45,-0.53,-0.0062,24.20788839,39.53467916,23.16045945,49.44914286,52.45791246,31.04125737,29.05431067,0.360493143,23379.22857,6.520057143,1627.835714,94.43571429,22.53714286,0.378618571,0.363274875,23449.625,6.5928,1630.67375,94.45875,22.71,0.37983125
2023-03-03,0.350439,23466.6,6.3309,1648.04,95.41,22.01,0.37725,0.3506,23478.5,6.331,1649.1,95.48,22.01,0.38049,0.321,22000.0,5.8,1542.13,85.53,20.38,0.352,0.342657,22356.1,6.0331,1569.68,90.57,21.41,0.37736,0.335282,22451.0,6.0113,1570.63,89.68,21.05,0.36628,13200000.0,4394.078048,620947.2404,22518.44528,53429.93195,278273.8122,7050647.196,5347,46587,4628,15254,6646,4679,2338,0.0296,1478.5,0.531,106.97,9.95,1.63,0.02849,-0.007773,-1110.4,-0.2978,-78.45,-4.78,-0.58,7e-05,21.53588367,26.56245383,19.18353226,36.39636608,39.6841569,27.8659612,29.24242424,0.357226857,23259.55714,6.437057143,1622.38,94.29142857,22.29857143,0.378477143,0.360984,23328.12222,6.530611111,1623.896667,94.02666667,22.56555556,0.379556667
2023-03-04,0.342465,22356.0,6.0349,1569.65,90.6,21.39,0.37727,0.344556,22401.0,6.0535,1577.68,90.79,21.6,0.37993,0.330766,22168.5,5.7367,1549.42,87.54,20.21,0.36843,0.336462,22348.5,5.9148,1566.58,89.38,20.99,0.37354,0.337151,22312.0,5.9204,1563.78,89.35,20.92,0.37473,4072966.771,965.0604086,275852.2737,6522.674754,12548.6156,158665.8795,2202699.017,1616,23257,2413,4586,2497,2622,1006,0.01379,232.5,0.3168,28.26,3.25,1.39,0.0115,-0.006195,-7.6,-0.1183,-3.1,-1.19,-0.42,-0.00382,19.79456256,26.50293363,17.95854475,36.02064602,37.41594621,25.94417077,25.54599603,0.353547,23142.58571,6.347128571,1618.347143,93.74142857,22.10285714,0.37786,0.3585318,23230.16,6.46903,1618.165,93.562,22.408,0.378955
