Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto,Volatility,Price_Change,RSI,MA_7,MA_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Rolling_Std_7,Rolling_Std_14,EMA_7,EMA_14,MACD,Day_of_Week,Month,Week_of_Year
2023-08-03 00:00:00,5.8426,5.9337,5.5001,5.6001,5.6704,455017.9756,4748,Polkadot,0.4336,-0.2409,17.50400277,5.946585714,6.2884,5.841,5.9196,5.9866,0.219743254948218,0.416211606683981,5.95128937550336,6.2189341396077,-0.267644764,2,3,10
2023-09-03 00:00:00,5.601,5.7997,5.232,5.3847,5.5327,500128.8536,6173,Polkadot,0.5677,-0.2154,16.01155841,5.811414286,6.165735714,5.6001,5.841,5.9196,0.234464449533906,0.411011385968325,5.80964203162752,6.107702921,-0.298060889,3,3,10
2023-10-03 00:00:00,5.3835,5.6032,5.1526,5.5577,5.4046,447693.2262,3755,Polkadot,0.4506,0.173,26.11467848,5.7435,6.090278571,5.3847,5.6001,5.841,0.228320461924316,0.419253791650339,5.74665652372064,6.03436919819422,-0.287712674,4,3,10
2023-11-03 00:00:00,5.5772,5.7324,5.2764,5.5072,5.4382,604834.4351,4805,Polkadot,0.456,-0.0505,26.34460107,5.685271429,6.0162,5.5577,5.3847,5.6001,0.229325617948842,0.424452309543631,5.68679239279048,5.96407997176833,-0.277287579,5,3,10
2023-12-03 00:00:00,5.5057,5.9388,5.4134,5.9388,5.6169,429134.9228,4662,Polkadot,0.5254,0.4316,34.77154284,5.678442857,5.96235,5.5072,5.5577,5.3847,0.219352401834298,0.377218352906152,5.74979429459286,5.96070930886588,-0.210915014,6,3,10
13/03/2023,5.9397,6.171,5.7192,6.1237,6.0002,714856.6604,7174,Polkadot,0.4518,0.1849,41.04577216,5.7076,5.929764286,5.9388,5.5072,5.5577,0.265467838604477,0.337367425,5.84327072094464,5.9824414010171,-0.13917068,0,3,11
14/03/2023,6.1322,6.5597,6.0184,6.2448,6.2926,524126.7435,6828,Polkadot,0.5413,0.1211,47.89998768,5.765285714,5.922457143,6.1237,5.9388,5.5072,0.334248866508032,0.328627567349389,5.94365304070848,6.01742254754815,-0.073769507,1,3,11
15/03/2023,6.2534,6.3894,5.7983,5.8915,6.0412,525093.9452,5354,Polkadot,0.5911,-0.3533,37.71643567,5.806914286,5.87675,6.2448,6.1237,5.9388,0.328341029158056,0.278021575670776,5.93061478053136,6.00063287454173,-0.070018094,2,3,11
16/03/2023,5.8865,6.1505,5.789,6.1008,6.0192,343935.3511,3866,Polkadot,0.3615,0.2093,45.59785728,5.909214286,5.860314286,5.8915,6.2448,6.1237,0.283341333780604,0.25495282778507,5.97316108539852,6.0139884912695,-0.040827406,3,3,11
17/03/2023,6.1022,6.6442,6.0454,6.6397,6.3921,562768.508,4467,Polkadot,0.5988,0.5389,60.62495621,6.063785714,5.903642857,6.1008,5.8915,6.2448,0.347489728522401,0.32773304735664,6.13979581404889,6.097416692,0.0423791216153226,4,3,11
18/03/2023,6.6402,6.7104,6.3019,6.3232,6.546,275013.5126,2996,Polkadot,0.4085,-0.3165,56.6889413,6.180357143,5.932814286,6.6397,6.1008,5.8915,0.253929287119748,0.346444185441714,6.185646861,6.12752113344242,0.058125727,5,3,11
19/03/2023,6.3316,6.6149,6.3316,6.4609,6.4879,218597.6736,2423,Polkadot,0.2833,0.1377,57.60412993,6.254942857,5.966692857,6.3232,6.6397,6.1008,0.247754494457336,0.374188297856502,6.2544601454025,6.17197164898343,0.082488496,6,3,11
20/03/2023,6.4918,6.4982,6.0641,6.0969,6.3016,307826.8976,3918,Polkadot,0.4341,-0.364,52.59536845,6.251114286,5.979357143,6.4609,6.3232,6.6397,0.250314465080571,0.375469987972582,6.21507010905187,6.16196209578564,0.0531080132662298,0,3,12
21/03/2023,6.095,6.4544,6.0141,6.3855,6.2336,598222.8232,4117,Polkadot,0.4403,0.2886,57.50889483,6.271214286,6.01825,6.0969,6.4609,6.3232,0.255321878084453,0.388026804684735,6.2576775817889,6.19176714968089,0.065910432,1,3,12
22/03/2023,6.3776,6.5267,5.9168,6.0643,6.2352,592135.2598,6380,Polkadot,0.6099,-0.3212,56.26281705,6.2959,6.051407143,6.3855,6.0969,6.4609,0.218136218909196,0.368909208059663,6.209333186,6.17477152972344,0.0345616566182389,2,3,12
23/03/2023,6.0539,6.4273,6.0061,6.324,6.2564,337191.048,3611,Polkadot,0.4212,0.2597,62.52299816,6.327785714,6.1185,6.0643,6.3855,6.0969,0.200461620836938,0.320577625304937,6.23799989,6.19466865909364,0.043331231,3,3,12
24/03/2023,6.3277,6.3417,5.9615,6.0241,6.1155,389057.6206,3010,Polkadot,0.3802,-0.2999,56.01464975,6.239842857,6.151814286,6.324,6.0643,6.3855,0.174119708411034,0.279406942970676,6.18452491731719,6.17192617121449,0.0125987461026992,4,3,12
25/03/2023,6.0307,6.0814,5.8392,5.9101,5.9877,175034.3816,1391,Polkadot,0.2422,-0.114,55.11203593,6.180828571,6.180592857,6.0241,6.324,6.0643,0.207889864385656,0.222950572184423,6.11591868798789,6.13701601505256,-0.021097327,5,3,12
26/03/2023,5.9073,6.1068,5.888,6.0691,6.0115,132895.9649,1230,Polkadot,0.2188,0.159,51.77612388,6.124857143,6.1899,5.9101,6.0241,6.324,0.169028023881082,0.214645432139751,6.10421401599092,6.12796054637888,-0.02374653,6,3,12
27/03/2023,6.0513,6.11,5.7539,5.8744,5.9107,344729.7391,3322,Polkadot,0.3561,-0.1947,46.61083771,6.093071429,6.172092857,6.0691,5.9101,6.0241,0.19420680312737,0.230328041862321,6.04676051199319,6.09415247352837,-0.047391962,0,3,13
28/03/2023,5.8681,6.1075,5.7919,6.0597,5.9454,149570.8743,1994,Polkadot,0.3156,0.1853,47.52678977,6.046528571,6.158871429,5.8744,6.0691,5.9101,0.145334794116733,0.231144581555391,6.04999538399489,6.08955881039125,-0.039563426,1,3,13
29/03/2023,6.0642,6.2808,6.0522,6.1831,6.1995,229730.327,3058,Polkadot,0.2286,0.1234,54.15124423,6.0635,6.1797,6.0597,5.8744,6.0691,0.154409056297444,0.217960399,6.083271538,6.10203096900575,-0.018759431,2,3,13
30/03/2023,6.184,6.3076,6.0283,6.1189,6.1617,375338.6162,4998,Polkadot,0.2793,-0.0642,50.26877729,6.0342,6.180992857,6.1831,6.0597,5.8744,0.109736365895726,0.217509608856836,6.09217865349712,6.104280173,-0.01210152,3,3,13
31/03/2023,6.119,6.3802,6.1032,6.343,6.2422,352435.9739,4785,Polkadot,0.277,0.2241,45.13973069,6.079757143,6.1598,6.1189,6.1831,6.0597,0.159676588318838,0.180721149415759,6.15488399012284,6.13610948338654,0.0187745067363014,4,3,13
