Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto,Volatility,Price_Change,RSI,MA_7,MA_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Rolling_Std_7,Rolling_Std_14,EMA_7,EMA_14,MACD,Day_of_Week,Month,Week_of_Year
2023-08-03 00:00:00,1561.47,1569.72,1525.01,1532.26,1552.5,12547.52769,9191,Ethereum,44.71,-29.21,32.48326521,1572.66,1600.42,1561.47,1566.0,1564.5,35.6133987,41.6936331608777,1569.70734394684,1592.07874373879,-22.37139979,2,3,10
2023-09-03 00:00:00,1532.06,1545.12,1409.64,1438.15,1482.02,39401.65757,16981,Ethereum,135.48,-94.11,25.40245061,1542.662857,1585.249286,1532.26,1561.47,1566.0,47.7987171077097,57.6435319560974,1536.81800796013,1571.55491124028,-34.73690328,3,3,10
2023-10-03 00:00:00,1437.61,1448.08,1370.0,1430.0,1412.86,74543.58327,25211,Ethereum,78.08,-8.15,27.61008031,1522.708571,1572.544286,1438.15,1532.26,1561.47,61.7577024692929,70.452877728449,1510.113506,1552.68092307491,-42.5674171,4,3,10
2023-11-03 00:00:00,1430.0,1489.27,1415.01,1483.38,1455.74,64379.38772,32955,Ethereum,74.26,53.38,37.26601604,1510.822857,1564.585,1430.0,1438.15,1532.26,59.8849254026101,73.9513917,1503.43012947757,1543.44079999825,-40.01067052,5,3,10
2023-12-03 00:00:00,1483.59,1607.72,1460.43,1591.57,1529.14,59473.3103,26174,Ethereum,147.29,108.19,44.99288563,1514.69,1561.015714,1483.38,1430.0,1438.15,64.6160552804022,71.10245551,1525.46509710818,1549.85802666515,-24.39292956,6,3,10
13/03/2023,1591.71,1701.24,1570.56,1680.0,1638.04,91780.70828,34382,Ethereum,130.68,88.43,54.01291035,1530.975714,1564.337143,1591.57,1483.38,1430.0,89.3397225682475,75.6871656052903,1564.09882283113,1567.21028977647,-3.111466945,0,3,11
14/03/2023,1679.99,1784.65,1666.0,1705.56,1723.95,85701.29607,36441,Ethereum,118.65,25.56,58.84704982,1551.56,1571.607143,1680.0,1591.57,1483.38,111.410126559482,84.1789884644683,1599.46411712335,1585.65691780627,13.8071993170779,1,3,11
15/03/2023,1704.84,1721.31,1616.0,1656.38,1666.0,48414.99822,26015,Ethereum,105.31,-49.18,49.21486429,1569.291429,1570.975714,1705.56,1680.0,1591.57,117.535253779248,83.4528036782362,1613.69308784251,1595.08666209877,18.6064257437428,2,3,11
16/03/2023,1656.38,1696.2,1639.0,1677.09,1658.92,33887.36316,13789,Ethereum,57.2,20.71,52.55568499,1603.425714,1573.044286,1656.38,1705.56,1680.0,107.357367990766,85.837219712151,1629.54231588188,1606.0204404856,23.5218753962838,3,3,11
17/03/2023,1677.14,1802.25,1667.0,1793.22,1737.04,47427.21947,23571,Ethereum,135.25,116.13,68.4970046,1655.314286,1589.011429,1677.09,1656.38,1705.56,96.8263500391542,104.027030278535,1670.46173691141,1630.98038175418,39.4813551572258,4,3,11
18/03/2023,1793.3,1845.73,1750.0,1763.03,1802.7,60971.00028,25954,Ethereum,95.73,-30.19,65.55793142,1695.264286,1603.043571,1793.22,1677.09,1656.38,67.2325706923724,113.579446651444,1693.60380268356,1648.58699752029,45.016805163264,5,3,11
19/03/2023,1762.72,1845.47,1762.39,1785.14,1807.94,32397.63745,17150,Ethereum,83.08,22.11,66.93635052,1722.917143,1618.803571,1763.03,1793.22,1677.09,56.411711170137,122.7567936774,1716.48785201267,1666.79406451759,49.6937874950801,6,3,11
20/03/2023,1785.91,1807.29,1728.25,1735.84,1766.0,36928.28389,18275,Ethereum,79.04,-49.3,62.14565634,1730.894286,1630.935,1785.14,1763.03,1793.22,53.1873455680159,125.498667400218,1721.3258890095,1676.00018924857,45.3256997609246,0,3,12
21/03/2023,1735.83,1837.02,1723.44,1804.51,1783.49,36354.61775,18592,Ethereum,113.58,68.67,65.91992873,1745.03,1648.295,1735.84,1785.14,1763.03,58.2409947259384,131.801897310377,1742.12191675712,1693.1348306821,48.9870860750261,1,3,12
22/03/2023,1804.17,1825.1,1713.49,1737.51,1775.45,47787.48187,22174,Ethereum,111.61,-67.0,62.81035064,1756.62,1662.955714,1804.51,1735.84,1785.14,43.9877104049165,129.2935554,1740.96893756784,1699.05151992448,41.9174176433577,2,3,12
23/03/2023,1737.85,1858.45,1732.69,1816.15,1796.0,34753.38995,17593,Ethereum,125.76,78.64,74.05681992,1776.485714,1689.955714,1737.51,1804.51,1735.84,31.7956647239564,117.683926470229,1759.76420317588,1714.66465060122,45.0995525746611,3,3,12
24/03/2023,1816.06,1821.66,1728.01,1751.48,1770.05,42727.05684,19869,Ethereum,93.65,-64.67,69.08663437,1770.522857,1712.918571,1816.15,1737.51,1804.51,32.04721918,91.5128196868221,1757.69315238191,1719.57336385439,38.1197885275196,4,3,12
25/03/2023,1751.67,1765.48,1715.04,1743.67,1741.49,16205.44082,8413,Ethereum,50.44,-7.81,66.33776472,1767.757143,1731.510714,1751.48,1816.15,1737.51,33.599440329808,63.4205110553936,1754.18736428643,1722.7862486738,31.4011156126271,5,3,12
26/03/2023,1743.57,1801.26,1740.6,1775.66,1770.26,21463.39464,11134,Ethereum,60.66,31.99,62.77710684,1766.402857,1744.66,1743.67,1751.48,1816.15,32.9671228722848,49.79434614,1759.55552321482,1729.83608218396,29.7194410308593,6,3,12
27/03/2023,1775.66,1781.47,1686.5,1715.42,1730.17,36764.97642,16519,Ethereum,94.97,-60.24,52.5585091,1763.485714,1747.19,1775.66,1743.67,1751.48,36.80258725,47.082292278028,1748.52164241111,1727.91393789277,20.6077045183483,0,3,13
28/03/2023,1715.39,1794.79,1697.53,1772.99,1748.62,36614.52497,19612,Ethereum,97.26,57.57,54.65541763,1758.982857,1752.006429,1715.42,1775.66,1743.67,32.6394238686333,45.9309352108191,1754.63873180833,1733.92407950706,20.7146523012711,1,3,13
29/03/2023,1772.99,1824.0,1772.99,1793.31,1800.75,47244.06707,20901,Ethereum,51.01,20.32,59.84612066,1766.954286,1761.787143,1772.99,1715.42,1775.66,33.3278046367428,37.8740407197245,1764.30654885625,1741.84220223945,22.4643466167954,2,3,13
